"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"FOXJ3_chr1:-:42278347:42278672:42311049:42311110:42265114:42265189:42335058:42335215:21887","FOXJ3_chr1:-:42278347:42278672:42311049:42311110:42265114:42265189:42335058:42335215:21887","MXE","ENSG00000198815.9","FOXJ3",0.194,0.26,0.288,0.289,0.249,0.297,0.236,0.172,0.196,0.218,0.292,0.261,0.336,0.291,2.229404761,"SEED6"
"KIF9_chr3:-:47282139:47282385:47277281:47277379:47282494:47282577:121077","KIF9_chr3:-:47282139:47282385:47277281:47277379:47282494:47282577:121077","SE","ENSG00000088727.14","KIF9",0.033,0.065,0.076,0.148,0.083,0.096,0.071,0.078,0.06,0.048,0.081,0.135,0.058,0.079,2.230540541,"SEED6"
"POC5_chr5:-:75702604:75702810:75705703:75705787:75694654:75694831:75707736:75707875:20790","POC5_chr5:-:75702604:75702810:75705703:75705787:75694654:75694831:75707736:75707875:20790","MXE","ENSG00000152359.15","POC5",0.311,0.304,0.29,0.389,0.394,0.41,0.372,0.262,0.363,0.314,0.225,0.395,0.324,0.282,2.233170733,"SEED6"
"FOXJ3_chr1:-:42265114:42265189:42311049:42311110:42227882:42227966:42335058:42335215:21885","FOXJ3_chr1:-:42265114:42265189:42311049:42311110:42227882:42227966:42335058:42335215:21885","MXE","ENSG00000198815.9","FOXJ3",0.187,0.24,0.293,0.298,0.249,0.288,0.232,0.164,0.24,0.205,0.259,0.275,0.343,0.27,2.235335277,"SEED6"
"MAP4K5_chr14:-:50504799:50504857:50531941:50532158:50486103:50486194:50532399:50532609:20400","MAP4K5_chr14:-:50504799:50504857:50531941:50532158:50486103:50486194:50532399:50532609:20400","MXE","ENSG00000012983.12","MAP4K5",0.093,0.092,0.168,0.223,0.136,0.215,0.125,0.232,0.122,0.159,0.204,0.181,0.217,0.221,2.236206896,"SEED6"
"BORCS8_chr19:-:19180685:19180761:19182572:19182683:19176905:19177460:19192080:19192139:2103","BORCS8_chr19:-:19180685:19180761:19182572:19182683:19176905:19177460:19192080:19192139:2103","MXE","ENSG00000254901.8","BORCS8",0.148,0.127,0.123,0.306,0.155,0.179,0.23,0.246,0.161,0.16,0.244,0.253,0.279,0.17,2.237124184,"SEED6"
"RC3H2_chr9:-:122892908:122893026:122897278:122897576:122890311:122890545:122905109:122905215:30827","RC3H2_chr9:-:122892908:122893026:122897278:122897576:122890311:122890545:122905109:122905215:30827","MXE","ENSG00000056586.16","RC3H2",0.214,0.196,0.24,0.174,0.23,0.28,0.226,0.208,0.207,0.264,0.259,0.289,0.288,0.28,2.237577854,"SEED6"
"SH2D2A_chr1:-:156815036:156815221:156816005:156816063:156814204:156814294:156816674:156816834:13489","SH2D2A_chr1:-:156815036:156815221:156816005:156816063:156814204:156814294:156816674:156816834:13489","MXE","ENSG00000027869.12","SH2D2A",0.068,0.124,0.147,0.18,0.214,0.172,0.182,0.207,0.154,0.144,0.21,0.226,0.161,0.17,2.240884957,"SEED6"
"MEAF6_chr1:-:37496546:37496604:37495873:37495918:37501803:37501996:163404","MEAF6_chr1:-:37496546:37496604:37495873:37495918:37501803:37501996:163404","SE","ENSG00000163875.16","MEAF6",0.129,0.144,0.174,0.243,0.225,0.213,0.165,0.118,0.119,0.18,0.159,0.15,0.12,0.13,2.241728395,"SEED6"
"AMTN_chr4:+:70522757:70522838:70524871:70524961:70518762:70518831:70528722:70528758:25709","AMTN_chr4:+:70522757:70522838:70524871:70524961:70518762:70518831:70528722:70528758:25709","MXE","ENSG00000187689.10","AMTN",0.197,0.236,0.248,0.304,0.257,0.288,0.247,0.263,0.263,0.258,0.279,0.258,0.311,0.272,2.242122186,"SEED6"
"RILP_chr17:-:1648349:1648495:1648798:1649044:1647834:1647957:1649199:1649306:35905","RILP_chr17:-:1648349:1648495:1648798:1649044:1647834:1647957:1649199:1649306:35905","MXE","ENSG00000167705.12","RILP",0.232,0.15,0.228,0.357,0.244,0.321,0.139,0.257,0.244,0.296,0.283,0.222,0.306,0.183,2.242857143,"SEED6"
"GRTP1_chr13:-:113325660:113325846:113325918:113326091:113324162:113324577:113344862:113344959:29669","GRTP1_chr13:-:113325660:113325846:113325918:113326091:113324162:113324577:113344862:113344959:29669","MXE","ENSG00000139835.14","GRTP1",0.264,0.472,0.429,0.414,0.444,0.359,0.533,0.333,0.351,0.387,0.509,0.571,0.531,0.436,2.244728544,"SEED6"
"LRRC45_chr17:+:82029018:82029185:82029092:82029185:82028612:82028683:1642","LRRC45_chr17:+:82029018:82029185:82029092:82029185:82028612:82028683:1642","A3SS","ENSG00000169683.8","LRRC45",0.089,0.123,0.13,0.082,0.177,0.187,0.185,0.139,0.088,0.128,0.089,0.286,0.18,0.126,2.245034965,"SEED6"
"PURPL_chr5:+:27484925:27485029:27475534:27475695:27494234:27494335:110164","PURPL_chr5:+:27484925:27485029:27475534:27475695:27494234:27494335:110164","SE","ENSG00000250337.8","PURPL",0.3,0.273,0.164,0.333,0.474,0.309,0.333,0.256,0.282,0.435,0.238,0.542,0.32,0.213,2.247822878,"SEED6"
"PURPL_chr5:+:27484925:27485029:27493569:27494335:27475534:27475695:27495948:27496404:23237","PURPL_chr5:+:27484925:27485029:27493569:27494335:27475534:27475695:27495948:27496404:23237","MXE","ENSG00000250337.8","PURPL",0.325,0.2,0.194,0.36,0.38,0.364,0.4,0.256,0.28,0.392,0.407,0.4,0.267,0.304,2.248943487,"SEED6"
"AURKB_chr17:-:8206490:8206639:8210176:8210249:8205215:8205390:8210529:8210575:3961","AURKB_chr17:-:8206490:8206639:8210176:8210249:8205215:8205390:8210529:8210575:3961","MXE","ENSG00000178999.13","AURKB",0.143,0.177,0.204,0.211,0.202,0.223,0.191,0.199,0.182,0.211,0.256,0.197,0.298,0.273,2.24966443,"SEED6"
"DUSP1_chr5:-:172769574:172769794:172770160:172770306:172768095:172769132:172770585:172771195:17028","DUSP1_chr5:-:172769574:172769794:172770160:172770306:172768095:172769132:172770585:172771195:17028","MXE","ENSG00000120129.6","DUSP1",0.102,0.148,0.129,0.218,0.155,0.159,0.152,0.125,0.152,0.131,0.178,0.115,0.202,0.17,2.250825688,"SEED6"
"SF1_chr11:-:64767191:64767275:64767191:64767246:64767570:64767844:15351","SF1_chr11:-:64767191:64767275:64767191:64767246:64767570:64767844:15351","A3SS","ENSG00000168066.21","SF1",0.32,0.301,0.404,0.49,0.381,0.444,0.417,0.463,0.459,0.392,0.498,0.407,0.558,0.404,2.251469536,"SEED6"
"AURKB_chr17:-:8210176:8210224:8207737:8207840:8210529:8210600:19704","AURKB_chr17:-:8210176:8210224:8207737:8207840:8210529:8210600:19704","SE","ENSG00000178999.13","AURKB",0.401,0.519,0.553,0.592,0.614,0.563,0.488,0.523,0.637,0.598,0.617,0.599,0.612,0.506,2.253689168,"SEED6"
"CLK4_chr5:-:178622392:178622459:178618555:178618778:178623255:178623416:109708","CLK4_chr5:-:178622392:178622459:178618555:178618778:178623255:178623416:109708","SE","ENSG00000113240.14","CLK4",0.04,0.118,0.066,0.146,0.122,0.114,0.089,0.092,0.118,0.111,0.112,0.179,0.066,0.086,2.253854748,"SEED6"
"PURPL_chr5:+:27484925:27485029:27494118:27494335:27475534:27475695:27495948:27496404:23238","PURPL_chr5:+:27484925:27485029:27494118:27494335:27475534:27475695:27495948:27496404:23238","MXE","ENSG00000250337.8","PURPL",0.333,0.2,0.2,0.36,0.38,0.348,0.389,0.275,0.28,0.37,0.4,0.4,0.264,0.304,2.2575,"SEED6"
"DHRS13_chr17:-:28900989:28901301:28901492:28901616:28897780:28898892:28902582:28902701:3777","DHRS13_chr17:-:28900989:28901301:28901492:28901616:28897780:28898892:28902582:28902701:3777","MXE","ENSG00000167536.14","DHRS13",0.167,0.25,0.303,0.255,0.337,0.184,0.256,0.283,0.342,0.274,0.329,0.512,0.333,0.22,2.258203125,"SEED6"
"CARS2_chr13:-:110642314:110644182:110642314:110642521:110644064:110644182:9441","CARS2_chr13:-:110642314:110644182:110642314:110642521:110644064:110644182:9441","RI","ENSG00000134905.17","CARS2",0.333,0.299,0.341,0.373,0.425,0.398,0.375,0.256,0.402,0.324,0.488,0.333,0.434,0.389,2.261311477,"SEED6"
"ENSG00000284952_chr3:-:155767508:155767669:155775700:155775848:155763042:155763918:155802531:155802591:22448","ENSG00000284952_chr3:-:155767508:155767669:155775700:155775848:155763042:155763918:155802531:155802591:22448","MXE","ENSG00000284952.1","ENSG00000284952",0.523,0.286,0.54,0.571,0.472,0.571,0.538,0.439,0.386,0.5,0.556,0.547,0.485,0.46,2.261366024,"SEED6"
"SNHG16_chr17:+:76558373:76558600:76557765:76557857:76561287:76561398:67535","SNHG16_chr17:+:76558373:76558600:76557765:76557857:76561287:76561398:67535","SE","ENSG00000163597.16","SNHG16",0.119,0.132,0.131,0.134,0.178,0.169,0.099,0.088,0.098,0.124,0.121,0.135,0.078,0.071,2.261797752,"SEED6"
"ZNF789_chr7:+:99478273:99482326:99478273:99478356:99479660:99482326:7172","ZNF789_chr7:+:99478273:99482326:99478273:99478356:99479660:99482326:7172","RI","ENSG00000198556.14","ZNF789",0.792,0.486,0.638,0.793,0.78,0.822,0.841,0.683,0.632,0.844,0.759,0.968,0.837,0.837,2.262066117,"SEED6"
"PLEKHA8_chr7:+:30074070:30074132:30062671:30062742:30129265:30129472:75536","PLEKHA8_chr7:+:30074070:30074132:30062671:30062742:30129265:30129472:75536","SE","ENSG00000106086.20","PLEKHA8",0.766,0.557,0.785,0.82,0.841,0.899,0.721,0.761,0.702,0.759,0.711,0.811,0.86,0.8,2.262580646,"SEED6"
"ADGRA3_chr4:-:22454865:22454937:22473771:22473843:22447439:22447511:22515527:22515997:23846","ADGRA3_chr4:-:22454865:22454937:22473771:22473843:22447439:22447511:22515527:22515997:23846","MXE","ENSG00000152990.14","ADGRA3",0.25,0.189,0.256,0.27,0.269,0.329,0.271,0.321,0.257,0.264,0.331,0.273,0.326,0.295,2.266283987,"SEED6"
"MUTYH_chr1:-:45332762:45333324:45332762:45333170:45333284:45333324:5995","MUTYH_chr1:-:45332762:45333324:45332762:45333170:45333284:45333324:5995","RI","ENSG00000132781.20","MUTYH",0.105,0.11,0.127,0.152,0.073,0.09,0.141,0.113,0.094,0.153,0.14,0.267,0.162,0.095,2.266516853,"SEED6"
"SLC41A3_chr3:-:126033606:126033678:126067946:126068246:126026334:126026479:126084092:126084123:10684","SLC41A3_chr3:-:126033606:126033678:126067946:126068246:126026334:126026479:126084092:126084123:10684","MXE","ENSG00000114544.17","SLC41A3",0.078,0.055,0.093,0.072,0.109,0.106,0.107,0.11,0.065,0.046,0.119,0.152,0.117,0.126,2.267631578,"SEED6"
"NINJ1_chr9:-:93124898:93125062:93126409:93126638:93121495:93122230:93134142:93134251:17612","NINJ1_chr9:-:93124898:93125062:93126409:93126638:93121495:93122230:93134142:93134251:17612","MXE","ENSG00000131669.10","NINJ1",0.306,0.291,0.303,0.376,0.331,0.287,0.311,0.238,0.317,0.335,0.363,0.393,0.348,0.364,2.269007634,"SEED6"
"NKTR_chr3:+:42620015:42620043:42619663:42619708:42621428:42621516:164604","NKTR_chr3:+:42620015:42620043:42619663:42619708:42621428:42621516:164604","SE","ENSG00000114857.19","NKTR",0.187,0.269,0.248,0.262,0.332,0.486,0.291,0.148,0.363,0.284,0.342,0.382,0.249,0.238,2.270452675,"SEED6"
"EZH1_chr17:-:42722794:42722915:42727661:42727763:42720272:42720449:42728824:42728952:3563","EZH1_chr17:-:42722794:42722915:42727661:42727763:42720272:42720449:42728824:42728952:3563","MXE","ENSG00000108799.13","EZH1",0.386,0.57,0.592,0.686,0.6,0.588,0.452,0.593,0.468,0.519,0.585,0.671,0.61,0.624,2.271778425,"SEED6"
"TECPR1_chr7:-:98245921:98246165:98251393:98251548:98244884:98245067:98252125:98252232:27089","TECPR1_chr7:-:98245921:98246165:98251393:98251548:98244884:98245067:98252125:98252232:27089","MXE","ENSG00000205356.10","TECPR1",0.439,0.357,0.375,0.5,0.667,0.4,0.476,0.485,0.446,0.6,0.577,0.742,0.529,0.597,2.273746631,"SEED6"
"EZH1_chr17:-:42722794:42722915:42727634:42727763:42720272:42720449:42728824:42728952:3562","EZH1_chr17:-:42722794:42722915:42727634:42727763:42720272:42720449:42728824:42728952:3562","MXE","ENSG00000108799.13","EZH1",0.386,0.57,0.597,0.686,0.6,0.588,0.452,0.59,0.468,0.519,0.585,0.671,0.61,0.624,2.274693877,"SEED6"
"LSS_chr21:-:46227551:46227690:46228433:46228599:46222629:46222738:46228731:46228774:861","LSS_chr21:-:46227551:46227690:46228433:46228599:46222629:46222738:46228731:46228774:861","MXE","ENSG00000160285.15","LSS",0.166,0.223,0.2,0.231,0.232,0.195,0.197,0.175,0.149,0.24,0.262,0.222,0.227,0.237,2.276183207,"SEED6"
"RNF41_chr12:-:56212995:56213138:56210247:56210568:56213957:56214018:166014","RNF41_chr12:-:56212995:56213138:56210247:56210568:56213957:56214018:166014","SE","ENSG00000181852.18","RNF41",0.115,0.17,0.183,0.182,0.204,0.23,0.156,0.157,0.13,0.189,0.203,0.138,0.136,0.139,2.279130434,"SEED6"
"HSDL1_chr16:-:84131101:84131327:84135543:84135605:84129985:84130431:84145079:84145177:21340","HSDL1_chr16:-:84131101:84131327:84135543:84135605:84129985:84130431:84145079:84145177:21340","MXE","ENSG00000103160.12","HSDL1",0.283,0.213,0.254,0.34,0.295,0.379,0.232,0.272,0.297,0.331,0.289,0.275,0.373,0.298,2.28358839,"SEED6"
"NEDD1_chr12:+:96907603:96907856:96919984:96920125:96907256:96907300:96934975:96935205:26335","NEDD1_chr12:+:96907603:96907856:96919984:96920125:96907256:96907300:96934975:96935205:26335","MXE","ENSG00000139350.12","NEDD1",0.276,0.204,0.328,0.367,0.296,0.309,0.292,0.346,0.274,0.36,0.339,0.312,0.418,0.295,2.286889953,"SEED6"
"GNPTG_chr16:+:1352101:1352306:1352101:1352159:1352238:1352306:9665","GNPTG_chr16:+:1352101:1352306:1352101:1352159:1352238:1352306:9665","RI","ENSG00000090581.11","GNPTG",0.161,0.191,0.25,0.205,0.326,0.268,0.15,0.212,0.239,0.098,0.19,0.357,0.191,0.192,2.287394958,"SEED6"
"ASIC1_chr12:+:50078923:50078980:50079901:50080055:50078420:50078577:50080497:50080589:8245","ASIC1_chr12:+:50078923:50078980:50079901:50080055:50078420:50078577:50080497:50080589:8245","MXE","ENSG00000110881.12","ASIC1",0.362,0.372,0.35,0.318,0.329,0.516,0.183,0.34,0.304,0.328,0.43,0.521,0.388,0.253,2.287907869,"SEED6"
"CD44_chr11:+:35201670:35201787:35189834:35190065:35204511:35204640:156098","CD44_chr11:+:35201670:35201787:35189834:35190065:35204511:35204640:156098","SE","ENSG00000026508.21","CD44",0.008,0.054,0.022,0.058,0.03,0.052,0.047,0.02,0.014,0.031,0.033,0.117,0.031,0.031,2.288034188,"SEED6"
"AURKB_chr17:-:8210176:8210225:8207737:8207840:8210529:8210584:19707","AURKB_chr17:-:8210176:8210225:8207737:8207840:8210529:8210584:19707","SE","ENSG00000178999.13","AURKB",0.42,0.53,0.558,0.601,0.624,0.576,0.497,0.531,0.647,0.611,0.621,0.607,0.622,0.514,2.288562596,"SEED6"
"GORASP1_chr3:-:39102677:39102926:39102677:39102881:39103472:39103553:5956","GORASP1_chr3:-:39102677:39102926:39102677:39102881:39103472:39103553:5956","A3SS","ENSG00000114745.15","GORASP1",0.043,0.035,0.045,0.041,0.047,0.046,0.048,0.061,0.015,0.057,0.08,0.131,0.052,0.033,2.289160307,"SEED6"
"FAM114A1_chr4:+:38868397:38868546:38867805:38867834:38878070:38878426:46082","FAM114A1_chr4:+:38868397:38868546:38867805:38867834:38878070:38878426:46082","SE","ENSG00000197712.12","FAM114A1",0.102,0.189,0.236,0.17,0.257,0.25,0.157,0.132,0.175,0.154,0.25,0.169,0.136,0.15,2.290194553,"SEED6"
"MKS1_chr17:-:58207084:58208001:58207084:58207218:58207893:58208001:2729","MKS1_chr17:-:58207084:58208001:58207084:58207218:58207893:58208001:2729","RI","ENSG00000011143.19","MKS1",0.293,0.243,0.275,0.367,0.308,0.356,0.31,0.3,0.352,0.296,0.418,0.324,0.467,0.341,2.292376874,"SEED6"
"MECR_chr1:-:29201373:29201518:29200515:29200589:29201942:29202045:75781","MECR_chr1:-:29201373:29201518:29200515:29200589:29201942:29202045:75781","SE","ENSG00000116353.16","MECR",0.043,0.073,0.095,0.085,0.134,0.054,0.059,0.094,0.069,0.031,0.067,0.136,0.095,0.06,2.297352941,"SEED6"
"XYLB_chr3:+:38366807:38366873:38370055:38370174:38365607:38365736:38372654:38372736:11809","XYLB_chr3:+:38366807:38366873:38370055:38370174:38365607:38365736:38372654:38372736:11809","MXE","ENSG00000093217.11","XYLB",0.223,0.357,0.332,0.416,0.564,0.312,0.375,0.455,0.379,0.397,0.405,0.492,0.41,0.447,2.298156028,"SEED6"
"CSPP1_chr8:+:67111971:67112075:67111971:67112065:67113804:67113862:9122","CSPP1_chr8:+:67111971:67112075:67111971:67112065:67113804:67113862:9122","A5SS","ENSG00000104218.16","CSPP1",0.062,0.07,0.097,0.113,0.083,0.058,0.036,0.038,0.028,0.115,0.1,0.162,0.134,0.044,2.29925926,"SEED6"
"SH3BP2_chr4:+:2831922:2832412:2832330:2832412:2831570:2831679:12574","SH3BP2_chr4:+:2831922:2832412:2832330:2832412:2831570:2831679:12574","A3SS","ENSG00000087266.17","SH3BP2",0.725,0.61,0.765,0.787,0.793,0.879,0.84,0.804,0.783,0.753,0.884,0.87,0.895,0.761,2.299776538,"SEED6"
"SLC12A2-DT_chr5:-:128064736:128064850:128061143:128061244:128082734:128083070:124515","SLC12A2-DT_chr5:-:128064736:128064850:128061143:128061244:128082734:128083070:124515","SE","ENSG00000245937.9","SLC12A2-DT",0.047,0.039,0.029,0.069,0.131,0.058,0.049,0.038,0.019,0.011,0.04,0.054,0.038,0.03,2.299999999,"SEED6"
"RBCK1_chr20:+:428490:429094:428490:428589:428950:429094:3064","RBCK1_chr20:+:428490:429094:428490:428589:428950:429094:3064","RI","ENSG00000125826.21","RBCK1",0.085,0.08,0.135,0.118,0.088,0.104,0.084,0.063,0.102,0.146,0.146,0.2,0.152,0.161,2.3,"SEED6"
"ARHGEF10_chr8:+:1843352:1843436:1857959:1858115:1823925:1824113:1859896:1860184:27928","ARHGEF10_chr8:+:1843352:1843436:1857959:1858115:1823925:1824113:1859896:1860184:27928","MXE","ENSG00000104728.16","ARHGEF10",0.091,0.105,0.076,0.185,0.196,0.112,0.196,0.13,0.144,0.105,0.182,0.124,0.15,0.105,2.301836736,"SEED6"
"CIRBP_chr19:+:1271980:1274810:1271980:1274440:1274648:1274810:891","CIRBP_chr19:+:1271980:1274810:1271980:1274440:1274648:1274810:891","RI","ENSG00000099622.14","CIRBP",0.429,0.604,0.533,0.624,0.655,0.519,0.636,0.578,0.378,0.589,0.679,0.6,0.695,0.588,2.302302158,"SEED6"
"RLF_chr1:+:40202411:40202614:40231516:40231658:40195631:40195764:40235791:40240921:21517","RLF_chr1:+:40202411:40202614:40231516:40231658:40195631:40195764:40235791:40240921:21517","MXE","ENSG00000117000.9","RLF",0.318,0.373,0.437,0.416,0.462,0.415,0.407,0.451,0.397,0.423,0.565,0.407,0.531,0.451,2.303539823,"SEED6"
"ZNF195_chr11:-:3369356:3369502:3360477:3360565:3370974:3371070:124149","ZNF195_chr11:-:3369356:3369502:3360477:3360565:3370974:3371070:124149","SE","ENSG00000005801.18","ZNF195",0.082,0.17,0.163,0.114,0.351,0.343,0.125,0.111,0.18,0.103,0.237,0.204,0.133,0.107,2.308831908,"SEED6"
"TYW5_chr2:-:199948317:199948472:199948336:199948472:199943764:199943834:8529","TYW5_chr2:-:199948317:199948472:199948336:199948472:199943764:199943834:8529","A5SS","ENSG00000162971.11","TYW5",0.245,0.319,0.304,0.497,0.398,0.352,0.402,0.429,0.429,0.226,0.441,0.456,0.399,0.318,2.31030181,"SEED6"
"CHKB_chr22:-:50579726:50579830:50581419:50581553:50579425:50579507:50581748:50581862:515","CHKB_chr22:-:50579726:50579830:50581419:50581553:50579425:50579507:50581748:50581862:515","MXE","ENSG00000100288.20","CHKB",0.35,0.258,0.35,0.365,0.439,0.479,0.3,0.316,0.304,0.313,0.338,0.231,0.346,0.328,2.310647182,"SEED6"
"FAM234A_chr16:+:248243:248397:234843:234857:249548:249654:25838","FAM234A_chr16:+:248243:248397:234843:234857:249548:249654:25838","SE","ENSG00000167930.17","FAM234A",0.106,0.173,0.181,0.21,0.176,0.189,0.138,0.14,0.207,0.178,0.165,0.27,0.147,0.103,2.31111111,"SEED6"
"ASIC1_chr12:+:50078923:50078980:50081101:50081181:50078420:50078577:50081259:50081364:8246","ASIC1_chr12:+:50078923:50078980:50081101:50081181:50078420:50078577:50081259:50081364:8246","MXE","ENSG00000110881.12","ASIC1",0.298,0.379,0.336,0.365,0.316,0.507,0.182,0.322,0.354,0.349,0.365,0.511,0.406,0.277,2.312524462,"SEED6"
"RASL10B_chr17:+:35735037:35735400:35740408:35740533:35731638:35731878:35741034:35743521:30097","RASL10B_chr17:+:35735037:35735400:35740408:35740533:35731638:35731878:35741034:35743521:30097","MXE","ENSG00000270885.2","RASL10B",0.19,0.2,0.225,0.301,0.253,0.19,0.181,0.198,0.167,0.3,0.214,0.256,0.323,0.198,2.313065016,"SEED6"
"RPTOR_chr17:+:80707840:80707999:80730559:80730706:80643727:80643810:80754009:80754185:17557","RPTOR_chr17:+:80707840:80707999:80730559:80730706:80643727:80643810:80754009:80754185:17557","MXE","ENSG00000141564.15","RPTOR",0.342,0.462,0.449,0.506,0.547,0.522,0.488,0.454,0.439,0.477,0.391,0.579,0.44,0.467,2.316511227,"SEED6"
"RAD9A_chr11:+:67393690:67393790:67395715:67395825:67392881:67393610:67395911:67396175:33233","RAD9A_chr11:+:67393690:67393790:67395715:67395825:67392881:67393610:67395911:67396175:33233","MXE","ENSG00000172613.8","RAD9A",0.406,0.286,0.417,0.571,0.475,0.427,0.485,0.403,0.396,0.302,0.422,0.438,0.492,0.378,2.3165324,"SEED6"
"MAP4K2_chr11:-:64801110:64801183:64801578:64801621:64800899:64801031:64801709:64801757:26458","MAP4K2_chr11:-:64801110:64801183:64801578:64801621:64800899:64801031:64801709:64801757:26458","MXE","ENSG00000168067.12","MAP4K2",0.263,0.465,0.448,0.442,0.553,0.441,0.455,0.48,0.315,0.454,0.565,0.447,0.453,0.408,2.318938052,"SEED6"
"RCOR3_chr1:+:211312719:211312835:211304082:211304140:211313423:211313672:131228","RCOR3_chr1:+:211312719:211312835:211304082:211304140:211313423:211313672:131228","SE","ENSG00000117625.14","RCOR3",0.609,0.671,0.793,0.88,0.737,0.824,0.759,0.775,0.869,0.821,0.905,0.864,0.905,0.874,2.320994475,"SEED6"
"PALS1_chr14:+:67279017:67279537:67279249:67279537:67269700:67269783:16970","PALS1_chr14:+:67279017:67279537:67279249:67279537:67269700:67269783:16970","A3SS","ENSG00000072415.10","PALS1",0.337,0.442,0.422,0.517,0.424,0.478,0.471,0.39,0.395,0.483,0.466,0.469,0.424,0.444,2.324100581,"SEED6"
"DOCK4_chr7:-:111834587:111834686:111844762:111844897:111822361:111822456:111846998:111847126:27401","DOCK4_chr7:-:111834587:111834686:111844762:111844897:111822361:111822456:111846998:111847126:27401","MXE","ENSG00000128512.24","DOCK4",0.368,0.636,0.571,0.673,0.588,0.667,0.455,0.467,0.612,0.542,0.524,0.704,0.412,0.49,2.326988638,"SEED6"
"ZNF655_chr7:+:99571687:99571792:99560532:99560695:99572244:99572318:95079","ZNF655_chr7:+:99571687:99571792:99560532:99560695:99572244:99572318:95079","SE","ENSG00000197343.11","ZNF655",0.348,0.377,0.348,0.347,0.427,0.45,0.321,0.258,0.378,0.35,0.517,0.455,0.36,0.447,2.328433268,"SEED6"
